A,B,C,D
1,23,46.2,373.14
2,35,51.33,589.37
3,30,55.99,499.27
4,6,61.05,67.29
5,13,66.11,193.18
6,37,71.36,625.34
7,28,76.04,463.1
8,37,80.98,625.08
9,8,86.16,103.09
10,4,90.99,31.27
11,6,96.22,67.09
12,22,101.09,355.36
13,13,105.99,193.29
14,2,111.37,-4.64
15,25,116.02,409.09
16,37,120.99,625.07
17,33,126.28,553.06
18,38,131.17,643.06
19,8,136.26,103.16
20,11,141.3,157.17
21,0,146.28,-40.66
22,3,151.1,13.05
23,2,156.15,-4.93
24,33,161.17,553.06
25,32,166.34,535.11
26,35,171.31,589.04
27,37,176.25,625.34
28,5,181.15,49.14
29,5,186.23,49.34
30,24,191.34,391.18
31,35,196.27,589.09
32,31,201.3,517.13
33,39,206.24,661.31
34,0,211.18,-40.9
35,0,216.02,-40.93
36,5,221.37,49.32
37,12,226.26,175.11
38,8,231.23,103.28
39,16,236.29,247.13
40,12,241.05,175.02
41,33,246,553.23
42,4,251.32,31.07
43,19,256.23,301.34
44,12,261.15,175.14
45,17,266.15,265.1
46,18,271.21,283.09
47,12,276.33,175.3
48,26,281.33,427.15
49,16,286.1,246.98
50,24,291.22,391.05
51,20,296.15,319.08
52,37,301.11,625.34
53,6,306.23,67.11
54,2,311.27,-4.72
55,10,316.04,139.05
56,22,321.14,355.2
57,26,326.19,427.07
58,18,331.37,283.03
59,35,336.05,589.15
60,28,341.21,463.31
61,35,346.33,589.01
62,37,351.3,625.14
63,25,356.37,409.31
64,38,360.99,643.21
65,28,366.1,463.19
66,28,371.24,463.28
67,2,376.1,-4.91
68,12,381.28,175
69,9,386.16,121.07
70,18,391.04,283.23
71,11,396.31,157.18
72,14,401.29,211.11
73,23,406.14,373.1
74,8,411.05,103.03
75,31,416.25,517.07
76,5,421.13,49.34
77,35,426.08,588.98
78,38,431.2,643.29
79,0,436.21,-40.93
80,1,440.99,-22.95
81,26,446.1,426.98
82,7,451.17,85.29
83,12,456,174.98
84,24,461.08,391.05
85,21,466.32,337.32
86,23,471.37,373
87,11,476.32,157.1
88,11,481.22,157.24
89,2,486.22,-4.93
90,3,491.15,13.08
91,10,496.02,139.12
92,3,501.01,13.31
93,34,506.13,571.25
94,26,511.29,427.28
95,33,516.1,553.22
96,20,521.25,319.13
97,22,526.36,354.99
98,26,531.08,427.23
99,12,536.02,175.07
100,13,540.98,193.16
